,type,amount,oldbalanceOrg,newbalanceOrig,isFraud
0,1,9839.64,170136.0,160296.36,0
1,1,1864.28,21249.0,19384.72,0
2,4,181.0,181.0,0.0,1
3,2,181.0,181.0,0.0,1
4,1,11668.14,41554.0,29885.86,0
5,1,7817.71,53860.0,46042.29,0
6,1,7107.77,183195.0,176087.23,0
7,1,7861.64,176087.23,168225.59,0
8,1,4024.36,2671.0,0.0,0
9,5,5337.77,41720.0,36382.23,0
10,5,9644.94,4465.0,0.0,0
11,1,3099.97,20771.0,17671.03,0
12,1,2560.74,5070.0,2509.26,0
13,1,11633.76,10127.0,0.0,0
14,1,4098.78,503264.0,499165.22,0
15,2,229133.94,15325.0,0.0,0
16,1,1563.82,450.0,0.0,0
17,1,1157.86,21156.0,19998.14,0
18,1,671.64,15123.0,14451.36,0
19,4,215310.3,705.0,0.0,0
20,1,1373.43,13854.0,12480.57,0
21,5,9302.79,11299.0,1996.21,0
22,5,1065.41,1817.0,751.59,0
23,1,3876.41,67852.0,63975.59,0
24,4,311685.89,10835.0,0.0,0
25,1,6061.13,443.0,0.0,0
26,1,9478.39,116494.0,107015.61,0
27,1,8009.09,10968.0,2958.91,0
28,1,8901.99,2958.91,0.0,0
29,1,9920.52,0.0,0.0,0
30,1,3448.92,0.0,0.0,0
31,1,4206.84,0.0,0.0,0
32,1,5885.56,0.0,0.0,0
33,1,5307.88,0.0,0.0,0
34,1,5031.22,0.0,0.0,0
35,1,24213.67,0.0,0.0,0
36,1,8603.42,253.0,0.0,0
37,1,2791.42,300481.0,297689.58,0
38,1,7413.54,297689.58,290276.03,0
39,1,3295.19,233633.0,230337.81,0
40,1,1684.81,297.0,0.0,0
41,5,5758.59,32604.0,26845.41,0
42,2,110414.71,26845.41,0.0,0
43,1,7823.46,998.0,0.0,0
44,1,5086.48,0.0,0.0,0
45,1,5281.48,152019.0,146737.52,0
46,1,13875.98,15818.0,1942.02,0
47,2,56953.9,1942.02,0.0,0
48,2,5346.89,0.0,0.0,0
49,1,2204.04,586.0,0.0,0
50,1,2641.47,23053.0,20411.53,0
51,2,23261.3,20411.53,0.0,0
52,1,2330.64,203543.0,201212.36,0
53,1,1614.64,41276.0,39661.36,0
54,1,9164.71,47235.77,38071.06,0
55,1,2970.97,38071.06,35100.09,0
56,1,38.66,16174.0,16135.34,0
57,1,2252.44,1627.0,0.0,0
58,4,62610.8,79114.0,16503.2,0
59,5,5529.13,8547.0,3017.87,0
60,2,82940.31,3017.87,0.0,0
61,5,4510.22,10256.0,5745.78,0
62,5,8727.74,882770.0,874042.26,0
63,1,2599.46,874042.26,871442.79,0
64,5,4874.49,153.0,0.0,0
65,1,6440.78,2192.0,0.0,0
66,1,4910.14,41551.0,36640.86,0
67,1,6444.64,12019.0,5574.36,0
68,5,5149.66,4782.0,0.0,0
69,1,7292.16,216827.0,209534.84,0
70,2,47458.86,209534.84,162075.98,0
71,2,136872.92,162075.98,25203.05,0
72,2,94253.33,25203.05,0.0,0
73,1,2998.04,12030.0,9031.96,0
74,1,3454.08,9031.96,5577.88,0
75,1,4316.2,10999.0,6682.8,0
76,1,2131.84,224.0,0.0,0
77,1,12986.61,23350.0,10363.39,0
78,4,42712.39,10363.39,0.0,0
79,4,77957.68,0.0,0.0,0
80,4,17231.46,0.0,0.0,0
81,4,78766.03,0.0,0.0,0
82,4,224606.64,0.0,0.0,0
83,4,125872.53,0.0,0.0,0
84,4,379856.23,0.0,0.0,0
85,4,1505626.01,0.0,0.0,0
86,4,554026.99,0.0,0.0,0
87,4,147543.1,0.0,0.0,0
88,4,761507.39,0.0,0.0,0
89,4,1429051.47,0.0,0.0,0
90,4,358831.92,0.0,0.0,0
91,4,367768.4,0.0,0.0,0
92,4,209711.11,0.0,0.0,0
93,4,583848.46,0.0,0.0,0
94,4,1724887.05,0.0,0.0,0
95,4,710544.77,0.0,0.0,0
96,4,581294.26,0.0,0.0,0
97,4,11996.58,0.0,0.0,0
98,1,2875.1,15443.0,12567.9,0
99,1,8586.98,3763.0,0.0,0
100,1,871.75,19869.0,18997.25,0
101,1,1035.36,71636.0,70600.64,0
102,1,1063.53,83084.0,82020.47,0
103,1,1019.9,204237.0,203217.1,0
104,1,4059.38,26304.0,22244.62,0
105,1,1876.44,182.0,0.0,0
106,2,28404.6,0.0,0.0,0
107,2,75405.1,0.0,0.0,0
108,2,50101.88,0.0,0.0,0
109,2,14121.82,0.0,0.0,0
110,2,78292.91,0.0,0.0,0
111,2,176149.9,0.0,0.0,0
112,2,212228.35,0.0,0.0,0
113,2,85423.63,0.0,0.0,0
114,2,11648.5,0.0,0.0,0
115,1,6165.58,20925.0,14759.42,0
116,1,3705.83,41903.46,38197.63,0
117,2,419801.4,38197.63,0.0,0
118,2,335416.51,144478.0,0.0,0
119,1,3372.29,41398.0,38025.71,0
120,1,661.43,14078.0,13416.57,0
121,5,864.68,69836.0,68971.32,0
122,1,1203.44,29941.0,28737.56,0
123,4,330757.04,103657.0,0.0,0
124,1,1915.43,11450.0,9534.57,0
125,1,8.73,81313.0,81304.27,0
126,5,3058.8,18138.0,15079.2,0
127,1,5154.97,9476.0,4321.03,0
128,1,5213.25,36380.0,31166.75,0
129,1,5392.75,50757.0,45364.25,0
130,1,25.12,61663.0,61637.88,0
131,1,17150.89,61637.88,44486.99,0
132,4,679502.24,290.0,0.0,0
133,4,177652.91,23720.0,0.0,0
134,1,5443.26,236997.0,231553.74,0
135,1,244.87,257978.49,257733.62,0
136,1,8281.57,257733.62,249452.05,0
137,1,1175.59,20509.0,19333.41,0
138,1,1097.74,24866.0,23768.26,0
139,4,184986.8,39588.0,0.0,0
140,1,1718.29,117811.0,116092.71,0
141,1,3671.32,100094.0,96422.68,0
142,5,3580.26,2565.0,0.0,0
143,1,8550.9,40060.0,31509.1,0
144,1,9753.55,60829.0,51075.45,0
145,1,3026.98,31139.0,28112.02,0
146,2,467177.03,28112.02,0.0,0
147,5,3875.99,259138.0,255262.01,0
148,1,2148.89,31213.0,29064.11,0
149,1,466.97,80030.0,79563.03,0
150,2,154139.72,79563.03,0.0,0
151,2,82685.93,0.0,0.0,0
152,2,83857.23,0.0,0.0,0
153,2,99109.77,0.0,0.0,0
154,2,187726.67,0.0,0.0,0
155,2,281339.92,0.0,0.0,0
156,2,186447.51,0.0,0.0,0
157,2,81029.86,0.0,0.0,0
158,2,139054.95,0.0,0.0,0
159,2,154716.2,0.0,0.0,0
160,2,53631.83,0.0,0.0,0
161,2,289645.52,0.0,0.0,0
162,2,267148.82,0.0,0.0,0
163,2,47913.58,0.0,0.0,0
164,2,193605.38,0.0,0.0,0
165,2,344464.4,0.0,0.0,0
166,2,169409.87,0.0,0.0,0
167,2,25793.74,0.0,0.0,0
168,2,114712.48,0.0,0.0,0
169,2,89038.75,0.0,0.0,0
170,2,1341.58,0.0,0.0,0
171,2,44443.08,0.0,0.0,0
172,2,34729.64,0.0,0.0,0
173,2,105979.34,0.0,0.0,0
174,2,57794.61,0.0,0.0,0
175,2,15918.79,0.0,0.0,0
176,2,19162.08,0.0,0.0,0
177,2,220691.42,0.0,0.0,0
178,2,9536.54,0.0,0.0,0
179,2,29784.06,0.0,0.0,0
180,2,190445.51,0.0,0.0,0
181,2,57279.11,0.0,0.0,0
182,2,112086.81,0.0,0.0,0
183,2,80311.89,0.0,0.0,0
184,2,151829.91,0.0,0.0,0
185,2,26004.52,0.0,0.0,0
186,2,3146.16,0.0,0.0,0
187,2,296752.75,0.0,0.0,0
188,2,191702.06,0.0,0.0,0
189,2,365510.05,0.0,0.0,0
190,2,202332.08,0.0,0.0,0
191,2,55105.9,0.0,0.0,0
192,2,171508.59,0.0,0.0,0
193,2,178439.26,0.0,0.0,0
194,2,88834.86,0.0,0.0,0
195,2,210370.09,0.0,0.0,0
196,2,36437.06,0.0,0.0,0
197,2,82691.56,0.0,0.0,0
198,2,338767.1,0.0,0.0,0
199,2,187728.59,0.0,0.0,0
200,2,271002.7,0.0,0.0,0
201,2,323105.08,0.0,0.0,0
202,2,10782.94,0.0,0.0,0
203,2,89962.11,0.0,0.0,0
204,2,101940.14,0.0,0.0,0
205,2,163100.34,0.0,0.0,0
206,2,136030.66,0.0,0.0,0
207,2,68912.23,0.0,0.0,0
208,2,73464.06,0.0,0.0,0
209,2,106117.28,0.0,0.0,0
210,2,503333.79,0.0,0.0,0
211,2,71991.42,0.0,0.0,0
212,2,91379.93,0.0,0.0,0
213,2,26759.05,0.0,0.0,0
214,2,128487.35,0.0,0.0,0
215,2,252908.87,0.0,0.0,0
216,2,64489.64,0.0,0.0,0
217,2,171369.73,0.0,0.0,0
218,1,4493.29,8258.0,3764.71,0
219,1,12121.5,97058.0,84936.5,0
220,1,2278.19,290.0,0.0,0
221,1,7707.44,99827.0,92119.56,0
222,1,4013.02,92119.56,88106.55,0
223,1,5775.15,132329.0,126553.85,0
224,1,4843.93,51718.0,46874.07,0
225,1,2397.82,20421.0,18023.18,0
226,1,4391.44,228.0,0.0,0
227,5,4497.87,107388.0,102890.13,0
228,1,7452.89,102397.0,94944.11,0
229,1,3930.81,6032.0,2101.19,0
230,2,71532.24,2101.19,0.0,0
231,2,61159.51,0.0,0.0,0
232,2,12401.9,0.0,0.0,0
233,2,32702.61,0.0,0.0,0
234,1,6926.67,152927.0,146000.33,0
235,1,893.57,10676.0,9782.43,0
236,4,480222.51,11110.0,0.0,0
237,1,3608.41,11150.0,7541.59,0
238,1,5946.79,7541.59,1594.8,0
239,1,6099.96,42133.0,36033.04,0
240,1,372.34,65254.0,64881.66,0
241,1,4635.18,6313782.05,6309146.87,0
242,1,1267.97,6309146.87,6307878.9,0
243,1,6911.99,6307878.9,6300966.92,0
244,1,1795.67,6300966.92,6299171.25,0
245,1,3199.06,6299171.25,6295972.18,0
246,1,10265.17,6295972.18,6285707.02,0
247,1,9029.12,25480.0,16450.88,0
248,1,7600.57,50747.0,43146.43,0
249,1,2057.71,25132.0,23074.29,0
250,1,3823.08,10382.0,6558.92,0
251,4,2806.0,2806.0,0.0,1
252,2,2806.0,2806.0,0.0,1
253,1,6737.2,624.0,0.0,0
254,1,9161.98,11128.0,1966.02,0
255,1,1239.06,396386.0,395146.94,0
256,1,365.0,319.0,0.0,0
257,1,5237.54,27105.0,21867.46,0
258,1,2618.76,21867.46,19248.7,0
259,1,339.82,12076.0,11736.18,0
260,5,1393.46,100068.0,98674.54,0
261,1,2731.37,17540.0,14808.63,0
262,1,8364.73,81.0,0.0,0
263,1,6598.71,16392.0,9793.29,0
264,1,4304.58,10708.0,6403.42,0
265,1,2867.14,943.0,0.0,0
266,1,2946.38,0.0,0.0,0
267,1,507.12,87005.0,86497.88,0
268,1,3020.86,50361.0,47340.14,0
269,1,8948.03,11137.0,2188.97,0
270,2,280877.92,2188.97,0.0,0
271,1,1084.9,13727.0,12642.1,0
272,1,9456.69,12642.1,3185.41,0
273,1,5812.36,3185.41,0.0,0
274,4,157883.07,46547.0,0.0,0
275,1,2734.77,4511.0,1776.23,0
276,2,102153.86,1776.23,0.0,0
277,1,584.52,15479.0,14894.48,0
278,1,6113.14,15629.0,9515.86,0
279,2,369989.2,9515.86,0.0,0
280,2,215338.28,0.0,0.0,0
281,2,65521.42,0.0,0.0,0
282,2,116977.58,0.0,0.0,0
283,2,262392.36,0.0,0.0,0
284,2,51121.05,0.0,0.0,0
285,2,202624.59,0.0,0.0,0
286,2,118235.16,0.0,0.0,0
287,2,118056.71,0.0,0.0,0
288,2,498960.91,0.0,0.0,0
289,2,691738.36,0.0,0.0,0
290,2,58820.08,0.0,0.0,0
291,1,4419.04,52951.0,48531.96,0
292,1,4270.02,9516.0,5245.98,0
293,1,3007.83,49905.0,46897.17,0
294,1,1824.59,25138.0,23313.41,0
295,1,993.46,19448.0,18454.54,0
296,2,302693.14,18454.54,0.0,0
297,1,1445.06,10892.0,9446.94,0
298,1,4059.25,4186.0,126.75,0
299,1,3417.18,126.75,0.0,0
300,5,3428.95,147798.0,144369.05,0
301,1,5580.98,7781.0,2200.02,0
302,5,3455.85,3509.0,53.15,0
303,1,7265.63,14508.0,7242.37,0
304,1,3852.64,1449076.27,1445223.63,0
305,1,7870.29,1445223.63,1437353.34,0
306,5,12872.92,11197.0,0.0,0
307,1,6675.34,10107.0,3431.66,0
308,2,410201.89,21448.0,0.0,0
309,1,13310.78,0.0,0.0,0
310,1,664.35,102983.0,102318.65,0
311,1,2130.3,10958.0,8827.7,0
312,1,7771.4,8827.7,1056.3,0
313,1,36349.35,1056.3,0.0,0
314,1,749.34,0.0,0.0,0
315,1,2340.34,0.0,0.0,0
316,1,9686.85,0.0,0.0,0
317,1,15785.85,0.0,0.0,0
318,1,9006.78,0.0,0.0,0
319,1,9014.95,0.0,0.0,0
320,1,14420.66,0.0,0.0,0
321,1,4802.31,0.0,0.0,0
322,1,28527.44,0.0,0.0,0
323,1,4182.93,0.0,0.0,0
324,1,4088.21,0.0,0.0,0
325,1,8491.9,0.0,0.0,0
326,5,6666.78,11876.0,5209.22,0
327,1,6536.86,17319.0,10782.14,0
328,2,40684.97,10782.14,0.0,0
329,1,1553.21,31516.0,29962.79,0
330,5,7344.92,0.0,0.0,0
331,2,106267.21,0.0,0.0,0
332,1,5491.5,36605.0,31113.5,0
333,1,3666.42,48117.0,44450.58,0
334,1,5507.18,36030.0,30522.82,0
335,5,4565.14,30265.0,25699.86,0
336,1,11348.71,734899.0,723550.29,0
337,4,123179.97,7215.0,0.0,0
338,1,7073.6,0.0,0.0,0
339,1,2803.83,0.0,0.0,0
340,1,106.81,0.0,0.0,0
341,1,6297.71,762.0,0.0,0
342,1,2610.01,58697.54,56087.54,0
343,1,5320.1,56087.54,50767.43,0
344,1,1460.63,1132.0,0.0,0
345,4,522264.81,24.0,0.0,0
346,5,3584.21,135496.0,131911.79,0
347,1,3704.97,24553.0,20848.03,0
348,1,2773.61,14332.0,11558.39,0
349,1,3896.42,11558.39,7661.97,0
350,1,18781.84,7661.97,0.0,0
351,1,6660.33,17710.0,11049.67,0
352,4,26923.42,11049.67,0.0,0
353,4,53783.57,0.0,0.0,0
354,4,80333.28,0.0,0.0,0
355,4,211075.91,0.0,0.0,0
356,4,100677.86,0.0,0.0,0
357,4,473499.51,0.0,0.0,0
358,4,1538200.39,0.0,0.0,0
359,4,2421578.09,0.0,0.0,0
360,4,1349670.68,0.0,0.0,0
361,4,314403.14,0.0,0.0,0
362,4,1457213.54,0.0,0.0,0
363,4,180368.84,0.0,0.0,0
364,4,445038.71,0.0,0.0,0
365,4,1123206.66,0.0,0.0,0
366,5,996.0,46132.0,45136.0,0
367,4,176334.26,45136.0,0.0,0
368,4,161217.61,0.0,0.0,0
369,4,108443.61,0.0,0.0,0
370,4,75442.68,0.0,0.0,0
371,4,55536.86,0.0,0.0,0
372,4,438437.09,0.0,0.0,0
373,4,928722.69,0.0,0.0,0
374,4,1478772.04,0.0,0.0,0
